cityname,lat纬度,lon经度
北京市,39.903839,116.718425
天津市,39.292945,117.336037
石家庄市,38.042121,114.508296
唐山市,39.697545,118.396248
邯郸市,36.55297,114.541894
邢台市,37.212744,114.815906
保定市,39.021256,115.170929
张家口市,40.86493,115.032473
承德市,41.347758,117.548481
沧州市,38.297389,116.873207
廊坊市,39.10857,116.534155
衡水市,37.762784,115.823161
太原市,37.869878,112.543305
阳泉市,37.856689,113.574097
长治市,36.194885,113.110718
晋城市,35.491882,112.845886
朔州市,39.330872,112.426514
晋中市,37.687073,112.746277
运城市,35.027893,111.001099
忻州市,38.41571,112.727722
临汾市,36.088318,111.512878
吕梁市,37.51854,111.13813
呼和浩特市,40.840343,111.743362
包头市,40.618226,109.945705
乌海市,39.653702,106.789413
赤峰市,42.256409,118.882942
通辽市,43.616455,122.273697
呼伦贝尔市,49.164036,119.771557
巴彦淖尔市,40.741711,107.382133
乌兰察布市,40.992393,113.126526
兴安盟,46.080553,122.031595
阿拉善盟,38.850948,105.724701
沈阳市,41.67486,123.45829
大连市,38.913222,121.609682
鞍山市,41.106475,122.988719
抚顺市,41.878723,123.950438
本溪市,41.485268,123.680795
丹东市,39.998954,124.348935
锦州市,41.09365,121.12119
营口市,40.623795,122.214222
阜新市,42.019982,121.664659
辽阳市,41.266472,123.232584
盘锦市,41.119385,122.065574
铁岭市,42.221709,123.721373
朝阳市,41.59915,120.485006
长春市,43.814223,125.316989
吉林市,43.817242,126.496753
四平市,43.211439,124.340306
辽源市,42.885464,125.13717
通化市,41.72631,125.93409
白山市,41.941681,126.408498
松原市,45.14011,124.819087
白城市,45.617732,122.832202
延边朝鲜族自治州,42.907907,129.463586
哈尔滨市,45.801577,126.528852
齐齐哈尔市,47.352515,123.911565
鸡西市,45.292886,130.961978
鹤岗市,47.297813,130.263998
双鸭山市,46.673844,131.133595
大庆市,46.587029,125.096835
伊春市,47.725514,128.833854
佳木斯市,46.79771,130.311142
七台河市,45.76956,130.995446
牡丹江市,44.550023,129.625814
绥化市,46.652104,126.962376
大兴安岭地区,52.066387,123.830254
上海市,31.232322,121.469091
南京市,32.060506,118.791346
徐州市,34.205618,117.278292
常州市,31.812532,119.96918
苏州市,31.301129,120.58118
南通市,31.982945,120.890069
连云港市,34.597765,119.21607
淮安市,33.55091,119.10738
盐城市,33.350937,120.156672
扬州市,32.395774,119.408024
镇江市,32.19062,119.41889
宿迁市,33.963285,118.269989
杭州市,30.248572,120.205944
宁波市,29.86275,121.620212
温州市,27.997401,120.695291
湖州市,30.896454,120.081856
绍兴市,30.053993,120.579281
金华市,29.082089,119.642705
衢州市,28.972957,118.854428
舟山市,29.988193,122.203184
台州市,28.659257,121.416327
丽水市,28.470916,119.918401
合肥市,31.822766,117.222069
芜湖市,31.354007,118.427814
蚌埠市,32.9184,117.35222
淮南市,32.587327,117.01293
马鞍山市,31.671481,118.502233
淮北市,33.956212,116.792934
铜陵市,30.947412,117.806114
安庆市,30.527175,117.051814
黄山市,29.717095,118.332101
滁州市,32.257362,118.327873
阜阳市,32.891914,115.808724
宿州市,33.649814,116.958855
亳州市,33.845866,115.773204
池州市,30.676421,117.490358
宣城市,30.942991,118.753529
福州市,26.077393,119.291386
厦门市,24.482351,118.084354
莆田市,25.456824,119.002906
三明市,26.266777,117.63386
泉州市,24.876872,118.671568
漳州市,24.519813,117.642328
南平市,27.386031,118.075413
龙岩市,25.078716,117.01239
宁德市,26.669839,119.543045
南昌市,28.686346,115.853058
景德镇市,29.278585,117.179097
九江市,29.66326,115.9491
新余市,27.82121,114.91228
鹰潭市,28.275307,117.034306
赣州市,25.834119,114.928662
宜春市,27.818537,114.41143
抚州市,27.95243,116.35294
上饶市,28.458323,117.938458
济南市,36.651833,117.113776
青岛市,36.066795,120.377587
淄博市,36.813274,118.048833
枣庄市,34.811096,117.317799
东营市,37.433807,118.668883
烟台市,37.463566,121.442517
济宁市,35.41557,116.58192
泰安市,36.20041,117.080791
威海市,37.51255,122.115136
日照市,35.417313,119.521445
临沂市,35.104176,118.350589
德州市,37.435623,116.353335
聊城市,36.45605,115.979826
滨州市,37.38205,117.964837
菏泽市,35.234814,115.474611
郑州市,34.748374,113.619301
开封市,34.798694,114.301743
洛阳市,34.621259,112.447601
平顶山市,33.767782,113.186303
安阳市,36.098746,114.386632
新乡市,35.30313,113.921019
焦作市,35.238943,113.22267
濮阳市,35.761908,115.023445
许昌市,34.037242,113.846436
漯河市,33.582992,114.010901
三门峡市,34.773576,111.194289
南阳市,32.992923,112.522644
商丘市,34.415643,115.650846
信阳市,32.125096,114.062778
驻马店市,33.013595,114.016575
济源市,35.068419,112.597821
武汉市,30.59517,114.29981
黄石市,30.20196,115.0335
十堰市,32.63181,110.79273
宜昌市,30.6943,111.2807
襄阳市,32.0111,112.11634
鄂州市,30.39354,114.8899
荆门市,31.03766,112.1936
孝感市,30.92029,113.95136
荆州市,30.3375,112.23374
黄冈市,30.45608,114.86731
咸宁市,29.84373,114.31704
随州市,31.69206,113.37632
仙桃市,30.330784,113.43698
潜江市,30.40493,112.89377
天门市,30.66572,113.1601
神农架林区,31.74671,110.6709
长沙市,28.231495,112.933492
株洲市,27.831849,113.127122
湘潭市,27.833585,112.938579
衡阳市,26.898183,112.566656
邵阳市,27.242576,111.462526
常德市,29.034653,111.693426
张家界市,29.120173,110.473834
益阳市,28.558893,112.349515
郴州市,25.773184,113.009951
永州市,26.42317,111.60816
怀化市,27.57297,109.99693
娄底市,27.701485,111.989084
湘西土家族苗族自治州,28.219448,109.668793
广州市,23.131972,113.258974
深圳市,22.54647,114.05434
珠海市,22.274254,113.571917
汕头市,23.356823,116.677502
佛山市,23.023983,113.11596
江门市,22.581778,113.075887
湛江市,21.272459,110.352098
茂名市,21.66523,110.920909
肇庆市,23.049593,112.459415
惠州市,23.115145,114.4102
梅州市,24.291418,116.117531
汕尾市,22.789656,115.370492
河源市,23.746408,114.695672
阳江市,21.859884,111.978173
清远市,23.684477,113.050699
中山市,22.519701,113.3882
潮州市,23.660534,116.617679
揭阳市,23.553553,116.368145
云浮市,22.917601,112.039302
南宁市,22.819923,108.3622
柳州市,24.328182,109.411005
桂林市,25.23812,110.17515
梧州市,23.4795,111.27406
北海市,21.483534,109.115685
防城港市,21.689623,108.350731
钦州市,21.983856,108.650577
贵港市,23.1144,109.59488
玉林市,22.65683,110.17673
百色市,23.90521,106.61474
贺州市,24.40723,111.56205
河池市,24.488117,108.632694
来宾市,23.753134,109.217071
崇左市,22.38001,107.360843
海口市,20.047364,110.195407
三沙市,16.832551,112.333758
儋州市,19.522896,109.576631
五指山市,18.776913,109.512879
琼海市,19.260724,110.470199
文昌市,19.545191,110.793526
万宁市,18.797121,110.386688
东方市,19.096986,108.648193
定安县,19.682912,110.352849
屯昌县,19.353454,110.096852
澄迈县,19.740651,110.002784
临高县,19.915441,109.686988
白沙黎族自治县,19.22323,109.438689
昌江黎族自治县,19.299876,109.051481
乐东黎族自治县,18.751555,109.169392
保亭黎族苗族自治县,18.640839,109.698462
琼中黎族苗族自治县,19.03508,109.834525
重庆市,29.566288,106.546855
成都市,30.575131,104.064296
自贡市,29.341804,104.776615
攀枝花市,26.585955,101.71692
泸州市,28.874022,105.438009
德阳市,31.129593,104.395164
绵阳市,31.469752,104.676714
遂宁市,30.535607,105.589412
内江市,29.582686,105.054482
乐山市,29.555412,103.763445
南充市,30.840095,106.106514
宜宾市,28.755858,104.640502
广安市,30.459341,106.628682
达州市,31.21205,107.463046
雅安市,30.013055,103.040443
巴中市,31.870037,106.743446
资阳市,30.131901,104.625184
阿坝藏族羌族自治州,31.901743,102.222789
甘孜藏族自治州,30.052446,101.960512
凉山彝族自治州,27.884826,102.266167
六盘水市,26.596317,104.828527
遵义市,27.728975,106.923402
安顺市,26.256647,105.944249
毕节市,27.306043,105.280911
铜仁市,27.734818,109.185024
黔西南布依族苗族自治州,25.092982,104.901902
黔东南苗族侗族自治州,26.587016,107.978722
黔南布依族苗族自治州,26.257693,107.518067
昆明市,24.88284,102.83172
曲靖市,25.494057,103.794283
玉溪市,24.350297,102.526021
保山市,25.11488,99.16087
昭通市,27.34157,103.7146
丽江市,26.85834,100.22526
普洱市,22.82819,100.96505
临沧市,23.886691,100.087535
楚雄彝族自治州,25.04863,101.52666
红河哈尼族彝族自治州,23.36645,103.37329
文山壮族苗族自治州,23.40377,104.21329
西双版纳傣族自治州,22.01206,100.79588
大理白族自治州,25.60949,100.26652
德宏傣族景颇族自治州,24.43633,98.58555
怒江傈僳族自治州,25.82092,98.8562
迪庆藏族自治州,27.8226,99.70091
日喀则市,29.270449,88.878549
昌都市,31.144367,97.170485
林芝市,29.651869,94.360177
山南市,29.240675,91.770733
那曲市,31.478945,92.049823
阿里地区,32.505668,80.103282
西安市,34.344801,108.934987
铜川市,34.897765,108.940367
宝鸡市,34.364305,107.232964
咸阳市,34.330631,108.704441
渭南市,34.521003,109.465496
延安市,36.648158,109.489126
汉中市,33.068257,107.018762
榆林市,38.284596,109.729122
安康市,32.686839,109.024257
商洛市,33.874159,109.913543
兰州市,36.06124,103.831876
嘉峪关市,39.771084,98.289085
金昌市,38.519622,102.186401
天水市,34.582069,105.721191
武威市,37.928423,102.636304
张掖市,38.92456,100.44833
平凉市,35.542965,106.66085
庆阳市,35.7093,107.639748
定西市,35.607316,104.589155
陇南市,33.37211,104.95737
临夏回族自治州,35.602169,103.208139
甘南藏族自治州,34.984276,102.909541
西宁市,36.617348,101.775857
海东市,36.473925,102.407752
海北藏族自治州,36.887342,100.975455
黄南藏族自治州,35.519758,102.013727
海南藏族自治州,36.296407,100.621404
果洛藏族自治州,34.473601,100.243092
玉树藏族自治州,33.007816,97.005618
海西蒙古族藏族自治州,37.376981,97.368906
银川市,38.486847,106.226387
石嘴山市,38.983246,106.378079
吴忠市,37.997275,106.194067
固原市,36.016717,106.238164
中卫市,37.499626,105.193129
乌鲁木齐市,43.825135,87.613831
吐鲁番市,42.94974,89.18669
哈密市,42.817016,93.513767
昌吉回族自治州,44.009842,87.305094
博尔塔拉蒙古自治州,44.904941,82.06337
阿克苏地区,41.16769,80.258151
克孜勒苏柯尔克孜自治州,39.714881,76.163563
喀什地区,39.46736,75.99083
和田地区,37.114632,79.920528
伊犁哈萨克自治州,43.915632,81.321105
塔城地区,46.744614,82.977305
阿勒泰地区,47.843531,88.137887
石河子市,44.304063,86.077654
阿拉尔市,41.952625,101.053307
图木舒克市,39.866,79.0722
五家渠市,44.165636,87.540383
北屯市,47.325254,87.830964
铁门关市,41.862416,85.668052
双河市,44.84317,82.35182
可克达拉市,43.939932,80.990477
昆玉市,37.21497,79.267675
台湾省,25.037522,121.563787
香港特别行政区,22.280685,114.1544
澳门特别行政区,22.189786,113.538095
秦皇岛市,40.087993,119.185617
大同市,40.094881,113.359743
鄂尔多斯市,39.607319,109.77552
锡林郭勒盟,43.931011,116.040909
葫芦岛市,40.70999,120.831538
黑河市,50.243455,127.520845
无锡市,31.4931,120.30773
泰州市,32.45713,119.918325
嘉兴市,30.748451,120.751197
六安市,31.737806,116.514988
萍乡市,27.66247,113.881738
吉安市,27.09491,114.96197
潍坊市,36.707607,119.155996
鹤壁市,35.749956,114.291356
恩施土家族苗族自治州,30.27471,109.48327
岳阳市,29.358677,113.122777
韶关市,24.814613,113.591857
东莞市,23.023226,113.746733
三亚市,18.254762,109.50769
陵水黎族自治县,18.508259,110.033327
广元市,32.437977,105.839626
眉山市,30.078383,103.846438
贵阳市,26.650947,106.626605
拉萨市,29.650271,91.139682
白银市,36.544468,104.135935
酒泉市,39.732338,98.493295
克拉玛依市,45.578614,84.886763
巴音郭楞蒙古自治州,41.762499,86.142513
周口市,33.619985,114.652273
