关键词,日期,省份,城市,PC+移动端,PC端,移动端
咳嗽,20230101-20231101,上海,上海,104193,24857,79336
咳嗽,20230101-20231101,云南,临沧,12715,690,12025
咳嗽,20230101-20231101,云南,丽江,8003,399,7604
咳嗽,20230101-20231101,云南,云南,72571,13741,58830
咳嗽,20230101-20231101,云南,保山,12697,971,11726
咳嗽,20230101-20231101,云南,大理,20852,969,19883
咳嗽,20230101-20231101,云南,德宏,14649,513,14136
咳嗽,20230101-20231101,云南,怒江,2299,114,2185
咳嗽,20230101-20231101,云南,文山,11231,859,10372
咳嗽,20230101-20231101,云南,昆明,44761,8899,35862
咳嗽,20230101-20231101,云南,昭通,16350,1484,14866
咳嗽,20230101-20231101,云南,普洱,16371,458,15913
咳嗽,20230101-20231101,云南,曲靖,21926,1028,20898
咳嗽,20230101-20231101,云南,楚雄,12611,684,11927
咳嗽,20230101-20231101,云南,玉溪,20159,800,19359
咳嗽,20230101-20231101,云南,红河,20726,3112,17614
咳嗽,20230101-20231101,云南,西双版纳,12292,515,11777
咳嗽,20230101-20231101,云南,迪庆,2817,171,2646
咳嗽,20230101-20231101,内蒙古,乌兰察布,16077,973,15104
咳嗽,20230101-20231101,内蒙古,乌海,7867,570,7297
咳嗽,20230101-20231101,内蒙古,兴安盟,12599,857,11742
咳嗽,20230101-20231101,内蒙古,内蒙古,65212,11281,53931
咳嗽,20230101-20231101,内蒙古,包头,22549,1891,20658
咳嗽,20230101-20231101,内蒙古,呼伦贝尔,19142,1370,17772
咳嗽,20230101-20231101,内蒙古,呼和浩特,32175,4095,28080
咳嗽,20230101-20231101,内蒙古,巴彦淖尔,14404,513,13891
咳嗽,20230101-20231101,内蒙古,赤峰,28081,4031,24050
咳嗽,20230101-20231101,内蒙古,通辽,20254,2003,18251
咳嗽,20230101-20231101,内蒙古,鄂尔多斯,21455,1435,20020
咳嗽,20230101-20231101,内蒙古,锡林郭勒盟,13226,861,12365
咳嗽,20230101-20231101,内蒙古,阿拉善盟,4066,114,3952
咳嗽,20230101-20231101,北京,北京,132450,27378,105072
咳嗽,20230101-20231101,台湾,台湾,3616,1142,2474
咳嗽,20230101-20231101,吉林,吉林,70708,13961,56747
咳嗽,20230101-20231101,吉林,吉林市,24878,3212,21666
咳嗽,20230101-20231101,吉林,四平,18726,973,17753
咳嗽,20230101-20231101,吉林,延边,22400,2931,19469
咳嗽,20230101-20231101,吉林,松原,16054,741,15313
咳嗽,20230101-20231101,吉林,白城,14501,574,13927
咳嗽,20230101-20231101,吉林,白山,13467,912,12555
咳嗽,20230101-20231101,吉林,辽源,13567,228,13339
咳嗽,20230101-20231101,吉林,通化,17855,971,16884
咳嗽,20230101-20231101,吉林,长春,50960,11301,39659
咳嗽,20230101-20231101,四川,乐山,18552,2345,16207
咳嗽,20230101-20231101,四川,内江,18155,1146,17009
咳嗽,20230101-20231101,四川,凉山,18359,1374,16985
咳嗽,20230101-20231101,四川,南充,22248,1832,20416
咳嗽,20230101-20231101,四川,四川,115414,19804,95610
咳嗽,20230101-20231101,四川,宜宾,20226,1205,19021
咳嗽,20230101-20231101,四川,巴中,17511,802,16709
咳嗽,20230101-20231101,四川,广元,13400,1140,12260
咳嗽,20230101-20231101,四川,广安,17295,1313,15982
咳嗽,20230101-20231101,四川,德阳,22859,3326,19533
咳嗽,20230101-20231101,四川,成都,77339,18377,58962
咳嗽,20230101-20231101,四川,攀枝花,9426,806,8620
咳嗽,20230101-20231101,四川,泸州,20404,1832,18572
咳嗽,20230101-20231101,四川,甘孜,11385,570,10815
咳嗽,20230101-20231101,四川,眉山,19139,1545,17594
咳嗽,20230101-20231101,四川,绵阳,23696,3102,20594
咳嗽,20230101-20231101,四川,自贡,16467,1600,14867
咳嗽,20230101-20231101,四川,资阳,12441,686,11755
咳嗽,20230101-20231101,四川,达州,19680,1773,17907
咳嗽,20230101-20231101,四川,遂宁,16019,1256,14763
咳嗽,20230101-20231101,四川,阿坝,5779,57,5722
咳嗽,20230101-20231101,四川,雅安,9125,513,8612
咳嗽,20230101-20231101,天津,天津,63076,16317,46759
咳嗽,20230101-20231101,宁夏,中卫,8455,574,7881
咳嗽,20230101-20231101,宁夏,吴忠,12463,578,11885
咳嗽,20230101-20231101,宁夏,固原,8547,228,8319
咳嗽,20230101-20231101,宁夏,宁夏,30636,4036,26600
咳嗽,20230101-20231101,宁夏,石嘴山,12289,456,11833
咳嗽,20230101-20231101,宁夏,银川,24437,2469,21968
咳嗽,20230101-20231101,安徽,亳州,23081,2121,20960
咳嗽,20230101-20231101,安徽,六安,22413,2357,20056
咳嗽,20230101-20231101,安徽,合肥,61783,15101,46682
咳嗽,20230101-20231101,安徽,安庆,22350,2290,20060
咳嗽,20230101-20231101,安徽,安徽,106688,18794,87894
咳嗽,20230101-20231101,安徽,宣城,20198,1893,18305
咳嗽,20230101-20231101,安徽,宿州,23297,2066,21231
咳嗽,20230101-20231101,安徽,巢湖,0,0,0
咳嗽,20230101-20231101,安徽,池州,15790,1315,14475
咳嗽,20230101-20231101,安徽,淮北,17472,1600,15872
咳嗽,20230101-20231101,安徽,淮南,19797,1714,18083
咳嗽,20230101-20231101,安徽,滁州,22840,2655,20185
咳嗽,20230101-20231101,安徽,芜湖,25446,4601,20845
咳嗽,20230101-20231101,安徽,蚌埠,22143,2070,20073
咳嗽,20230101-20231101,安徽,铜陵,15201,1372,13829
咳嗽,20230101-20231101,安徽,阜阳,25728,3275,22453
咳嗽,20230101-20231101,安徽,马鞍山,21082,3342,17740
咳嗽,20230101-20231101,安徽,黄山,17976,1144,16832
咳嗽,20230101-20231101,山东,东营,21626,2646,18980
