ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_长度
1,北京市 - 北京市,1,1,1,0.000000000000000
2,天津市 - 天津市,2,2,1,0.000000000000000
3,石家庄市 - 石家庄市,3,3,1,0.000000000000000
4,唐山市 - 唐山市,4,4,1,0.000000000000000
5,邯郸市 - 邯郸市,5,5,1,0.000000000000000
6,邢台市 - 邢台市,6,6,1,0.000000000000000
7,邢台市 - 承德市,6,9,2,651.013775906032151
8,邢台市 - 张家口市,6,8,3,664.758381641687379
9,邢台市 - 秦皇岛市,6,341,4,735.602168615973028
10,邢台市 - 新乡市,6,142,5,971.810883456255283
11,邢台市 - 吕梁市,6,22,6,1127.371918553881642
12,邢台市 - 菏泽市,6,136,7,1160.184940977785800
13,邢台市 - 四平市,6,48,8,1283.386080814691923
14,邢台市 - 烟台市,6,127,9,1491.391492812543220
15,邢台市 - 三门峡市,6,147,10,1773.651547771255991
16,邢台市 - 商洛市,6,291,11,2035.185921664475927
17,邢台市 - 萍乡市,6,351,12,2096.245743374288850
18,邢台市 - 安康市,6,290,13,2274.425900027583793
19,邢台市 - 郴州市,6,177,14,2293.026407398017000
20,邢台市 - 济源市,6,152,15,2326.993855399813128
21,邢台市 - 上饶市,6,121,16,2554.470753554216117
22,邢台市 - 龙岩市,6,111,17,2902.109962322476349
23,邢台市 - 黄冈市,6,162,18,3026.976121016336492
24,邢台市 - 恩施土家族苗族自治州,6,355,19,3170.676681204919532
25,邢台市 - 曲靖市,6,261,20,3329.363213721366265
26,邢台市 - 贺州市,6,211,21,3399.566732229888203
27,邢台市 - 拉萨市,6,364,22,4094.835629325869832
28,保定市 - 保定市,7,7,1,0.000000000000000
29,张家口市 - 张家口市,8,8,1,0.000000000000000
30,张家口市 - 承德市,8,9,2,382.569529158125533
31,张家口市 - 秦皇岛市,8,341,3,584.791226294620401
32,张家口市 - 邢台市,8,6,4,664.758381641686924
33,张家口市 - 新乡市,8,142,5,890.767157096522624
34,张家口市 - 吕梁市,8,22,6,1020.806707691597694
35,张家口市 - 菏泽市,8,136,7,1053.493266880424471
36,张家口市 - 四平市,8,48,8,1132.575138493338727
37,张家口市 - 烟台市,8,127,9,1384.826281950260181
38,张家口市 - 三门峡市,8,147,10,1649.692995139417235
39,张家口市 - 商洛市,8,291,11,1928.620710802192889
40,张家口市 - 萍乡市,8,351,12,1989.554069276927521
41,张家口市 - 安康市,8,290,13,2150.467347395742308
42,张家口市 - 郴州市,8,177,14,2186.334733300657717
43,张家口市 - 济源市,8,152,15,2203.035302767974372
44,张家口市 - 上饶市,8,121,16,2447.779079456855015
45,张家口市 - 龙岩市,8,111,17,2795.544751460193311
46,张家口市 - 黄冈市,8,162,18,2876.165178694985570
47,张家口市 - 恩施土家族苗族自治州,8,355,19,3064.111470342637404
48,张家口市 - 曲靖市,8,261,20,3222.798002859080952
49,张家口市 - 贺州市,8,211,21,3293.001521367602891
50,张家口市 - 拉萨市,8,364,22,3988.270418463589522
51,承德市 - 承德市,9,9,1,0.000000000000000
52,承德市 - 张家口市,9,8,2,382.569529158125647
53,承德市 - 秦皇岛市,9,341,3,571.046620558965628
54,承德市 - 邢台市,9,6,4,651.013775906032151
55,承德市 - 新乡市,9,142,5,877.022551360867965
56,承德市 - 吕梁市,9,22,6,1007.062101955943263
57,承德市 - 菏泽市,9,136,7,1039.748661144769812
58,承德市 - 四平市,9,48,8,1118.830532757684068
59,承德市 - 烟台市,9,127,9,1371.081676214605750
60,承德市 - 三门峡市,9,147,10,1635.948389403762121
61,承德市 - 商洛市,9,291,11,1914.876105066538457
62,承德市 - 萍乡市,9,351,12,1975.809463541272862
63,承德市 - 安康市,9,290,13,2136.722741660087650
64,承德市 - 郴州市,9,177,14,2172.590127565003058
65,承德市 - 济源市,9,152,15,2189.290697032320622
66,承德市 - 上饶市,9,121,16,2434.034473721200357
67,承德市 - 龙岩市,9,111,17,2781.800145724538197
68,承德市 - 黄冈市,9,162,18,2862.420572959330912
69,承德市 - 恩施土家族苗族自治州,9,355,19,3050.366864606983199
70,承德市 - 曲靖市,9,261,20,3209.053397123426294
71,承德市 - 贺州市,9,211,21,3279.256915631948232
72,承德市 - 拉萨市,9,364,22,3974.525812727935772
73,沧州市 - 沧州市,10,10,1,0.000000000000000
74,廊坊市 - 廊坊市,11,11,1,0.000000000000000
75,衡水市 - 衡水市,12,12,1,0.000000000000000
76,太原市 - 太原市,13,13,1,0.000000000000000
77,阳泉市 - 阳泉市,14,14,1,0.000000000000000
78,长治市 - 长治市,15,15,1,0.000000000000000
79,晋城市 - 晋城市,16,16,1,0.000000000000000
80,朔州市 - 朔州市,17,17,1,0.000000000000000
81,晋中市 - 晋中市,18,18,1,0.000000000000000
82,运城市 - 运城市,19,19,1,0.000000000000000
83,忻州市 - 忻州市,20,20,1,0.000000000000000
84,临汾市 - 临汾市,21,21,1,0.000000000000000
85,吕梁市 - 吕梁市,22,22,1,0.000000000000000
86,吕梁市 - 菏泽市,22,136,2,999.363274484776639
87,吕梁市 - 承德市,22,9,3,1007.062101955942353
88,吕梁市 - 张家口市,22,8,4,1020.806707691596444
89,吕梁市 - 秦皇岛市,22,341,5,1070.991835517374511
90,吕梁市 - 邢台市,22,6,6,1127.371918553880505
91,吕梁市 - 烟台市,22,127,7,1171.859647555772426
92,吕梁市 - 新乡市,22,142,8,1353.380694008716318
93,吕梁市 - 三门峡市,22,147,9,1558.043836832945090
94,吕梁市 - 安康市,22,290,10,1586.761051949207967
95,吕梁市 - 四平市,22,48,11,1619.565351514335134
96,吕梁市 - 商洛市,22,291,12,1774.613883072585395
97,吕梁市 - 济源市,22,152,13,1843.809267520803132
98,吕梁市 - 萍乡市,22,351,14,1935.424076881279916
99,吕梁市 - 恩施土家族苗族自治州,22,355,15,2043.304762651036981
100,吕梁市 - 郴州市,22,177,16,2132.204740905009658
101,吕梁市 - 上饶市,22,121,17,2393.649087061207410
102,吕梁市 - 曲靖市,22,261,18,2584.167231679941324
103,吕梁市 - 龙岩市,22,111,19,2651.784720393020507
104,吕梁市 - 贺州市,22,211,20,2715.780211140871415
105,吕梁市 - 拉萨市,22,364,21,2967.463710771990918
106,吕梁市 - 黄冈市,22,162,22,3363.165429781400690
107,呼和浩特市 - 呼和浩特市,23,23,1,0.000000000000000
108,包头市 - 包头市,24,24,1,0.000000000000000
109,乌海市 - 乌海市,25,25,1,0.000000000000000
110,赤峰市 - 赤峰市,26,26,1,0.000000000000000
111,通辽市 - 通辽市,27,27,1,0.000000000000000
112,呼伦贝尔市 - 呼伦贝尔市,28,28,1,0.000000000000000
113,巴彦淖尔市 - 巴彦淖尔市,29,29,1,0.000000000000000
114,乌兰察布市 - 乌兰察布市,30,30,1,0.000000000000000
115,兴安盟 - 兴安盟,31,31,1,0.000000000000000
116,阿拉善盟 - 阿拉善盟,32,32,1,0.000000000000000
117,沈阳市 - 沈阳市,33,33,1,0.000000000000000
118,大连市 - 大连市,34,34,1,0.000000000000000
119,鞍山市 - 鞍山市,35,35,1,0.000000000000000
120,抚顺市 - 抚顺市,36,36,1,0.000000000000000
121,本溪市 - 本溪市,37,37,1,0.000000000000000
122,丹东市 - 丹东市,38,38,1,0.000000000000000
123,锦州市 - 锦州市,39,39,1,0.000000000000000
124,营口市 - 营口市,40,40,1,0.000000000000000
125,阜新市 - 阜新市,41,41,1,0.000000000000000
126,辽阳市 - 辽阳市,42,42,1,0.000000000000000
127,盘锦市 - 盘锦市,43,43,1,0.000000000000000
128,铁岭市 - 铁岭市,44,44,1,0.000000000000000
129,朝阳市 - 朝阳市,45,45,1,0.000000000000000
130,长春市 - 长春市,46,46,1,0.000000000000000
131,吉林市 - 吉林市,47,47,1,0.000000000000000
132,四平市 - 四平市,48,48,1,0.000000000000000
133,四平市 - 秦皇岛市,48,341,2,677.324839227886173
134,四平市 - 承德市,48,9,3,1118.830532757684296
135,四平市 - 张家口市,48,8,4,1132.575138493340091
136,四平市 - 邢台市,48,6,5,1283.386080814692377
137,四平市 - 新乡市,48,142,6,1509.394856269528418
138,四平市 - 吕梁市,48,22,7,1619.565351514337635
139,四平市 - 菏泽市,48,136,8,1660.115925144471021
140,四平市 - 烟台市,48,127,9,1983.584925773000123
141,四平市 - 三门峡市,48,147,10,2110.698138303115684
142,四平市 - 商洛市,48,291,11,2405.000919280438211
143,四平市 - 萍乡市,48,351,12,2596.176727540973843
144,四平市 - 安康市,48,290,13,2611.472490559445760
145,四平市 - 济源市,48,152,14,2664.040445931675549
146,四平市 - 郴州市,48,177,15,2792.957391564701084
147,四平市 - 黄冈市,48,162,16,2910.300217109554978
148,四平市 - 上饶市,48,121,17,3054.401737720901110
149,四平市 - 龙岩市,48,111,18,3271.924959938433403
