行政区划名称,行政区类型,所属省级行政区,区划代码[2],面积[註 1] （平方公里）,常住人口[註 2] （2020年普查）,政府驻地,市 辖 区,县 级 市,县,自 治 县,旗,自 治 旗,特 区
石家庄市,地级市,河北省,130100,14060.14,11235086,长安区,8.0,3.0,11.0,,,,
唐山市,地级市,河北省,130200,14151.46,7717983,路北区,7.0,3.0,4.0,,,,
秦皇岛市,地级市,河北省,130300,7802.93,3136879,海港区,4.0,,2.0,1.0,,,
邯郸市,地级市,河北省,130400,12065.47,9413990,丛台区,6.0,1.0,11.0,,,,
邢台市,地级市,河北省,130500,12433.26,7111106,襄都区,4.0,2.0,12.0,,,,
保定市,地级市,河北省,130600,22184.95,11464315,竞秀区,5.0,4.0,15.0,,,,
张家口市,地级市,河北省,130700,36796.53,4118908,桥东区,6.0,,10.0,,,,
承德市,地级市,河北省,130800,39489.53,3354444,双桥区,3.0,1.0,4.0,3.0,,,
沧州市,地级市,河北省,130900,14304.27,7380504,运河区,2.0,4.0,9.0,1.0,,,
廊坊市,地级市,河北省,131000,6419.38,5464087,广阳区,2.0,2.0,5.0,1.0,,,
衡水市,地级市,河北省,131100,8836.78,4212933,桃城区,2.0,1.0,8.0,,,,
太原市,地级市,山西省,140100,6909.01,5304061,杏花岭区,6.0,1.0,3.0,,,,
大同市,地级市,山西省,140200,14056.4,3105591,平城区,4.0,,6.0,,,,
阳泉市,地级市,山西省,140300,4558.93,1318505,城区,3.0,,2.0,,,,
长治市,地级市,山西省,140400,13955.22,3180884,潞州区,4.0,,8.0,,,,
晋城市,地级市,山西省,140500,9424.87,2194545,城区,1.0,1.0,4.0,,,,
朔州市,地级市,山西省,140600,10625.39,1593444,朔城区,2.0,1.0,3.0,,,,
晋中市,地级市,山西省,140700,16391.98,3379498,榆次区,2.0,1.0,8.0,,,,
运城市,地级市,山西省,140800,14182.78,4774508,盐湖区,1.0,2.0,10.0,,,,
忻州市,地级市,山西省,140900,25151.55,2689668,忻府区,1.0,1.0,12.0,,,,
临汾市,地级市,山西省,141000,20302.16,3976481,尧都区,1.0,2.0,14.0,,,,
